query_num,mutation,status_code,classification,latency_ms,response_body
13,crop_0.042,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
14,blur_0.382,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
15,brightness_1.079,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
16,contrast_1.045,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
17,resize_0.973,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
18,crop_0.039,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
19,blur_0.202,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
20,brightness_1.034,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
21,contrast_1.027,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
22,resize_0.971,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
23,crop_0.023,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
24,blur_0.278,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
25,brightness_1.028,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
26,contrast_1.079,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
27,resize_0.966,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
28,crop_0.034,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
29,blur_0.659,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
30,brightness_1.063,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
31,contrast_1.046,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
32,resize_0.930,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
